recipe_title	ingredients	cuisine	course	diet	prep_time	cook_time	rating	vote_count
Roasted Peppers And Mushroom Tortilla Pizza Recipe	Tortillas, Extra Virgin Olive Oil, Garlic, Mozzarella cheese, Red Yellow or Green Bell Pepper, Onions, Kalmatta olives, Button mushrooms	Mexican	Dinner	Vegetarian	15 M	15 M	4.9585253456221	434
Spicy Grilled Pineapple Salsa Recipe	Extra Virgin Olive Oil, Pineapple, White onion, Red Yellow and Green Bell Peppers, Pickled Jalapenos, Coriander  Leaves, Mint Leaves, Salt, Lemon juice, Paprika powder	Mexican	Side Dish	Vegetarian	10 M	0 M	4.9459588713534	2091
Mexican Green Sauce Recipe	Coriander  Leaves, Tahini, Lemon juice, Extra Virgin Olive Oil, Honey, Ginger, Salt	Mexican	Side Dish	Vegetarian	10 M	0 M	4.9565217391304	506
Mango Tomato Bean Salsa Recipe	Mango, Tomato, Onion, Rajma, Pickled Jalapenos, Mint Leaves, Lemon juice, Coriander  Leaves, Salt, Cumin powder, Red Chilli powder	Mexican	Appetizer	Vegetarian	10 M	0 M	4.859375	448
Creamy Chicken Pesto Spaghetti Pasta Recipe	Extra Virgin Olive Oil, Chicken breasts, Spaghetti Pasta, Basil leaves, Walnuts, Parmesan cheese, Garlic, Extra Virgin Olive Oil, Salt, Whole Black Pepper Corns, Lemon juice	Italian	Dinner	High Protein Non Vegetarian	10 M	20 M	4.9044750430293	1162
Eggplant Rolls Recipe	Brinjal, Green Bell Pepper, Carrot, Onion, Green Chillies, Garlic, Basil leaves, Parsley leaves, Extra Virgin Olive Oil, Black pepper powder, Salt, Dried oregano, Mozzarella cheese	Italian	Main Course	Vegetarian	10 M	100 M	4.9020618556701	582
Polenta Pizza With Vegetables Recipe	Makki Ka Atta, Milk, Water, Whole Black Peppercorns, Extra Virgin Olive Oil, Salt, Red Yellow and Green Bell Peppers, Button mushrooms, Mixed Herbs, Onions, Cheese	Italian	Main Course	Vegetarian	10 M	60 M	4.9227941176471	272
Homemade Mole Sauce Recipe	Chipotle peppers, Onion, Garlic, Tomatoes, Raw Peanuts, Star anise, Cinnamon Stick, Cloves, Dark chocolate, Dried oregano, Black pepper powder, Sultana Raisins, Makki Ka Atta, Butter, Chicken stock, Salt	Mexican	Side Dish	Vegetarian	10 M	60 M	4.9468531468531	715
Mexican Omelette Recipe with Avocado Salsa	Whole Eggs, Green capsicum, Onion, Britannia Cheese Block, Whole Eggs, Salt, Black pepper powder, Milk, Avocado, Onion, Tomato, Green Chillies, Salt, Coriander  Leaves, Lemon juice, Sugar	Mexican	World Breakfast	Eggetarian	10 M	20 M	4.9304703476483	489
Roasted Peppers & Cheese Crostini Recipe	French Loaf, Butter, Extra Virgin Olive Oil, Red Yellow and Green Bell Peppers, Sweet corn, Pickled Jalapenos, Basil leaves, Salt, Mozzarella cheese, Mixed Herbs, Red Chilli flakes, Garlic bread spice mix	Italian	Appetizer	Vegetarian	10 M	25 M	4.9073482428115	626
Delicious Skillet Roasted Fondant Potatoes Recipe	Potatoes, Garlic, Fresh Thyme leaves, Salt	French	Appetizer	Vegetarian	0 M	30 M	4.8919860627178	287
Chilli Chicken Cheese Quesadilla Recipe	Tortillas, Mozzarella cheese, Chicken breasts, Green Bell Pepper, Spring Onion, Garlic, Ginger, Green Chillies, Corn flour, Tomato Ketchup, Sunflower Oil, Salt	Mexican	Appetizer	Non Vegeterian	20 M	20 M	4.9551282051282	624
Chicken Spinach Cheese Balls Recipe	Spinach, Britannia Cheese Cubes, Chicken keema, Salt, Garlic powder, Mixed Herbs, Red Chilli flakes, Extra Virgin Olive Oil, Black pepper powder, Oil, Whole Eggs, Whole Wheat Bread crumbs, Mixed Herbs 	Italian	Appetizer	High Protein Non Vegetarian	10 M	20 M	4.9224952741021	529
Mexican Corn Salsa Recipe	Sweet corn, Onion, Tomato, Green Bell Pepper, Yellow Bell Pepper, Red Bell pepper, Carrot, Lemon juice, Extra Virgin Olive Oil, Green Chilli, Coriander  Leaves, Salt	Mexican	Snack	Vegetarian	10 M	15 M	4.9165354330709	1270
Creamy Cheese Mushroom Bruschetta Recipe	Baguette, Garlic, Button mushrooms, Extra Virgin Olive Oil, Salt, Black pepper powder, Basil leaves	Italian	Appetizer	Vegetarian	15 M	30 M	4.9252336448598	856
Conchiglie Pasta With Broccoli Recipe	Conchiglie Pasta, Broccoli, Extra Virgin Olive Oil, Black pepper powder, White vinegar, Dried oregano, Salt, Rosemary, Fresh Thyme leaves	Italian	Lunch	Vegetarian	5 M	30 M	4.9057421451788	923
Brown Rice & Quinoa Risotto Recipe	Quinoa, Brown Rice, Garlic, Button mushrooms, Green Bell Pepper, Broccoli, Cheddar cheese, Fresh cream, Salt, Black pepper powder	Italian	Lunch	Vegetarian	10 M	45 M	4.8992654774397	953
Whole Wheat Crust Pizza With Zucchini And Basil Sauce	Whole Wheat Flour, Extra Virgin Olive Oil, Sugar, Salt, Lukewarm Water, Green zucchini, Onion, Mozzarella cheese	Italian	Dinner	Vegetarian	120 M	30 M	4.9034749034749	518
Mexican Style Cemita Recipe - Sesame Sandwich Bun	All Purpose Flour, Lukewarm Water, Salt, Sugar, Whole Eggs, Extra Virgin Olive Oil, Sesame seeds 	Mexican	Side Dish	Vegetarian	240 M	30 M	4.9297768100163	1837
Tomato Basil Pasta And Pizza Sauce Recipe	Blanched tomatoes, Extra Virgin Olive Oil, Garlic, Onion, Basil leaves, Salt, Whole Black Peppercorns, Sugar	Italian	NA	Vegetarian	10 M	30 M	4.9003470500744	4034
Roasted Pumpkin Spinach and Walnut Spaghetti Recipe	Spaghetti Pasta, Garlic, Extra Virgin Olive Oil, Red Chilli flakes, Mixed Herbs, Kaddu, Spinach Leaves, Walnuts, Salt	Italian	Dinner	Vegetarian	10 M	25 M	4.9054224464061	793
Corn Cakes Recipe With Mozzarella and Avocado Salsa Recipe	Sweet corn, Polenta, Mozzarella cheese, Cheddar cheese, Green Chillies, Onion, Milk, Sugar, Extra Virgin Olive Oil, Salt	Mexican	Appetizer	Vegetarian	30 M	30 M	4.936170212766	705
Tagliatelle Pasta Recipe With Fresh Tomato Basil Sauce	Tagliatelle pasta, Basil leaves, Extra Virgin Olive Oil, Salt, Parmesan cheese, Tomato, Garlic, Onion, Sugar, Whole Black Pepper Corns, Red Chilli flakes, Basil leaves, Salt, Red Chilli powder, Amchur, Onion, Sugar, Methi Seeds, Dry Red Chilli, Garlic, Ginger	Italian	Main Course	Vegetarian	25 M	30 M	4.9631578947368	380
Baked Frittata With Pasta and Vegetables Recipe	Macaroni pasta, Whole Eggs, Green Bell Pepper, Onion, Tomato, Button mushrooms, Parsley leaves, Salt and Pepper, Cheese, Extra Virgin Olive Oil	Italian	Main Course	Eggetarian	15 M	20 M	4.9203980099502	201
