animal_id,name,taxonomic_code,species,sex,birth_date,birth_type,litter_size,death_date
6201,Nosferatu,DMAD,Aye-aye,M,1985-12-18,wild,NA,2018-07-30
6202,Poe,DMAD,Aye-aye,M,1986-12-19,wild,NA,NA
6261,Samantha,DMAD,Aye-aye,F,1978-08-15,wild,NA,1995-12-20
6262,Annabel Lee,DMAD,Aye-aye,F,1988-05-24,captive,NA,1989-12-09
6451,Mephistopheles,DMAD,Aye-aye,M,1981-10-08,wild,NA,2014-02-12
6452,Endora,DMAD,Aye-aye,F,1983-12-04,wild,NA,NA
6453,Ozma,DMAD,Aye-aye,F,1985-10-11,wild,NA,NA
6454,Morticia,DMAD,Aye-aye,F,1988-11-30,wild,NA,2016-10-26
6480,Blue Devil,DMAD,Aye-aye,M,1992-04-06,captive,1,1998-12-19
6514,Goblin,DMAD,Aye-aye,M,1992-10-23,captive,1,1998-02-05
6515,Samantha-A,DMAD,Aye-aye,F,1992-12-13,captive,1,1992-12-14
6561,Cruella,DMAD,Aye-aye,F,1993-10-08,captive,1,1998-12-20
6604,Merlin,DMAD,Aye-aye,M,1994-06-05,captive,1,2016-10-25
6607,Caliban,DMAD,Aye-aye,F,1994-08-25,captive,1,NA
6649,Ozma-A,DMAD,Aye-aye,F,1995-10-22,captive,1,1995-10-26
6674,Ardrey,DMAD,Aye-aye,F,1996-04-15,captive,1,NA
6721,Kali,DMAD,Aye-aye,F,1998-01-06,captive,1,NA
6725,Usher (Marvin),DMAD,Aye-aye,M,1998-02-08,captive,1,2008-11-13
6737,Warlock,DMAD,Aye-aye,M,1998-06-16,captive,1,NA
6771,Ardrey-A,DMAD,Aye-aye,M,2000-12-15,captive,1,2000-12-20
6772,Tolkein,DMAD,Aye-aye,M,2001-01-07,captive,1,NA
6786,Lucrezia,DMAD,Aye-aye,F,2001-07-30,captive,1,NA
6787,Salem,DMAD,Aye-aye,F,2001-09-05,captive,1,NA
6788,Ozony Avelo,DMAD,Aye-aye,M,2001-10-25,captive,1,2015-01-19
6820,Sabrina,DMAD,Aye-aye,F,2003-09-26,captive,1,2016-03-29
6821,Medusa,DMAD,Aye-aye,F,2003-10-14,captive,1,NA
6842,Medea,DMAD,Aye-aye,F,2004-09-10,captive,1,NA
6851,Hitchcock,DMAD,Aye-aye,M,2005-02-22,captive,1,NA
6866,Angelique,DMAD,Aye-aye,F,2005-09-05,captive,1,2016-10-26
6870,Claudia,DMAD,Aye-aye,F,2005-12-30,captive,1,NA
6898,Bellatrix,DMAD,Aye-aye,F,2007-08-21,captive,1,NA
6914,Niffy,DMAD,Aye-aye,M,2008-06-21,captive,NA,NA
6915,Ichabod,DMAD,Aye-aye,M,2008-07-23,captive,1,2016-05-11
6919,Salem-A,DMAD,Aye-aye,M,2008-10-12,captive,NA,2008-10-12
6941,Norman Bates,DMAD,Aye-aye,M,2009-04-03,captive,1,2016-10-25
6943,Pan,DMAD,Aye-aye,M,2009-04-18,captive,NA,NA
6958,Tsara,DMAD,Aye-aye,F,2009-09-13,captive,NA,2016-08-24
6975,Grendel,DMAD,Aye-aye,M,2010-05-23,captive,1,NA
6980,Smeagol,DMAD,Aye-aye,M,2010-07-14,captive,NA,NA
6981,Styx,DMAD,Aye-aye,F,2010-09-01,captive,1,NA
7041,Imp,DMAD,Aye-aye,M,2010-11-29,captive,NA,2014-10-03
7071,Elphaba,DMAD,Aye-aye,F,2011-11-29,captive,1,NA
7082,Vinny,DMAD,Aye-aye,M,2011-12-05,captive,NA,NA
7116,Loki,DMAD,Aye-aye,M,2012-07-05,captive,NA,NA
7222,Kambana,DMAD,Aye-aye,F,2015-05-17,captive,NA,NA
7248,Bellatrix-A,DMAD,Aye-aye,F,2016-05-07,captive,NA,2016-05-07
7258,Damien,DMAD,Aye-aye,M,2016-09-02,captive,NA,NA
7260,Bellatrix-B,DMAD,Aye-aye,M,2016-11-07,captive,NA,2016-11-11
7276,Bellatrix-C,DMAD,Aye-aye,NA,2017-05-13,captive,NA,2017-05-13
7279,Agatha,DMAD,Aye-aye,F,2017-06-07,captive,1,NA
7305,Tonk,DMAD,Aye-aye,F,2018-08-08,captive,NA,NA
