GeneName	padj	log2FoldChange
Rp1	0.9570562498437838	0.05541531132170687
Sox17	0.9941211912398156	-0.002830463794192352
RP23-37D15.1	0.5420712322001829	0.6788309250438868
RP23-34E15.4	0.938289848862161	-0.02716051556764444
Mrpl15	0.2877040690264615	0.31941250586810443
RP23-34E15.5	0.7820508711543964	0.25590503114507124
Lypla1	0.9426031299392673	-0.03721750167008275
RP24-426M1.3	0.3851014374523341	0.19214954819172622
Tcea1	0.7048204910670439	0.18008788389805241
Gm6104	0.4615241905204502	0.5928848185711295
Atp6v1h	0.9895641164600265	-0.0053218168025289956
Rb1cc1	0.6923154525420332	0.19799505204526538
4732440D04Rik	0.6498766945081745	-0.21272154253440825
RP23-76C20.3	0.31214661533130333	0.5251789981016112
Pcmtd1	0.5020300891478873	0.33186027641745336
Gm9826	0.7171556159512434	0.25623742302183217
Gm26901	0.8890550426324363	0.13720998927812197
Rrs1	0.5664213722920579	-0.24033756489437455
Adhfe1	1.1952845188242523e-5	0.7268368809370837
2610203C22Rik	0.41075143939165415	-0.3803049200065704
Gm6161	0.07339941878888104	1.3078511475330874
Mybl1	0.8731853351088485	-0.19444295569308942
Vcpip1	0.9312661409678553	0.05803044450502821
Sgk3	0.9145045193587276	0.06684924965979983
Snhg6	0.17652779323876872	0.44184155846416445
Tcf24	0.37379457320287157	-0.9119441928957075
Cops5	0.2573664582769815	0.26101906486266274
Cspp1	0.8130585012579103	0.08830787977259057
Arfgef1	0.37780056394048467	0.3693266395081747
Prex2	0.5460298390204895	0.29112408649280247
Sulf1	0.6225033730658631	0.17196671995630433
Slco5a1	0.8818646764260685	0.08902617089017603
Ncoa2	0.9448113998661308	0.03264300147072223
Tram1	0.6685781133718415	0.17609192145689445
Lactb2	0.4998482697879092	0.3012761334863204
Gm5523	0.5710035865402077	0.34171754278783906
Eya1	0.5155875818502035	0.2545652720452969
Msc	0.916450043697805	0.07271030562328208
Rpl5-ps1	0.9090632711197637	0.13339090023776803
Gm10566	0.9986968804876464	-0.0011799860105146504
Terf1	0.6595386872424595	0.17489060948662735
Sbspon	0.7373981793584832	0.18740899065223499
Rpl7	0.2280832380775652	0.2195818092302811
Rdh10	0.7857230081814185	-0.11904903688862328
Stau2	0.5959323596892148	-0.20804265965204946
Ube2w	0.9672253032470107	0.024875910499189597
Tceb1	0.41189621958236644	0.328111594744282
Tmem70	0.5798919493990005	0.23915818424762741
Ly96	0.9547342823033128	-0.04190223454727287
Gm5828	0.784333759586848	-0.3071423028436637
Jph1	0.6083560960773203	0.17298439542012384
Gdap1	0.4070071269656741	0.5396766844926553
Rbm6-ps1	0.7395872085770502	0.27924674437681685
Pi15	0.019722660562927107	1.1245149064566413
Crispld1	0.6336174474846566	0.216256269495207
Gm4849	0.8805545548019229	-0.14268082572710458
Gm28653	0.022998492426834403	-1.0022028267641019
Mcm3	0.7328565000205515	-0.15598609668671656
Paqr8	0.902194002247528	-0.06999042543984049
Efhc1	0.5685333068362902	0.3841575807991002
Tram2	0.9598999694623965	0.019824838494824297
Gm2693	0.9217363048272877	0.12123077648388014
Tmem14a	0.9227371066289934	0.05843126903148997
Gsta3	0.7141062191147105	-0.3885237143366739
Kcnq5	0.08996963805788241	-0.5412692357239032
Gm7658	0.7273461248752243	0.13241182558741585
Gm29506	0.031097557534809004	-1.4055862292199328
4933415F23Rik	6.328305506597494e-5	-1.8471608886131272
Gm27028	0.7198809652188517	0.22072583418913316
Ogfrl1	0.6057892504558461	0.1838776343494205
Smap1	0.788702606837215	0.08712924696453148
1110058L19Rik	0.8182012028548092	0.07310262399520435
Fam135a	0.3850287999896881	0.4175107954512026
Col9a1	0.4628084780569939	0.7942942440111885
Tubb4b-ps2	0.5818944137917211	-0.35137994660045513
Gm28439	0.9840702980999589	0.01959195657094895
Gm10222	0.6328369329906396	0.315752034625113
Gm28438	0.004166054727273773	1.3853150112966834
Gm28437	0.6375506852881614	0.28181530817532574
Gm10925	0.9193562027340844	0.07634218136836098
Gm28661	0.5378642070331388	0.3200836657338352
Gm29216	0.5164134013664936	0.31074139402557777
Lmbrd1	0.6643921972679794	0.15522724782076863
Gm7846	0.21911537351534818	0.7152756923951442
Gm5525	0.9326528936179529	-0.039961686341074935
Phf3	0.6071439695101931	0.1460445088922998
Ptp4a1	0.3289117320973177	0.5191895944866455
Gm10307	0.9865580887930806	0.013229328175495159
Gm7114	0.9059179201056059	0.09207090798574477
Prim2	0.8617028101290275	0.10056297604527616
Rab23	0.963544559345764	0.018746808678213253
Bag2	0.34774842836471126	0.24871668377856163
Zfp451	0.6758311326717112	0.17606917404397937
Gm15455	0.5969390723622428	-0.54966436647331
Bend6	0.8955534757216677	0.13184891527277667
Dst	0.8741308170339853	0.03174236755567651
AC123072.1	0.982554853406113	0.006121754570444283
RP23-87D8.4	0.3978658911003612	0.43369188765410477
Unspecified	0.8300251228464117	-0.11721853501097995
Ccdc115	0.6344410946530965	-0.12147779153710335
Imp4	0.931401755298418	0.021719916375267306
Ptpn18	0.20739124068319942	-0.7233151832955838
Arhgef4	0.5972113986580058	-0.5008363105750039
RP23-348C6.3	0.47890609380372184	-0.7316179246422202
Fam168b	0.8354986714760391	-0.04130410456140509
Plekhb2	0.7886845537396452	-0.06619788559074684
RP24-72B22.1	0.9837136520865103	-0.02012630546057314
Hs6st1	0.3120304288689649	-0.2543704168659422
Uggt1	0.34667970258157843	-0.17565003746770386
Neurl3	0.2816896361510077	-0.5094373851581049
Arid5a	0.20918705499483228	-0.7813004099776166
Kansl3	0.5196848697430069	-0.17396435546936576
Lman2l	0.16881879416668977	-0.2574809370358402
Cnnm4	0.43429903153752536	-0.23565869797079678
Cnnm3	0.907471536020404	-0.056486240824351094
Ankrd23	0.4679507618498519	-0.30951857848879394
ANKRD23	0.4867025858481063	-0.2905074981770008
Ankrd39	0.6649985306191929	-0.177909926434558
Sema4c	0.8574457025980411	-0.07833107558280422
D430040D24Rik	0.4732204548723548	0.4265197086103716
Fam178b	0.8868754178768046	0.1567595834183579
Cox5b	0.8164043333943487	0.059751610259553715
Actr1b	0.28785404123830427	-0.37695213477886175
RP23-247A1.6	0.9076223759429767	-0.08673776221737568
Zap70	0.5826564573134126	-0.48172881679106633
Tmem131	0.9978750954770228	-6.887999073965501e-4
Vwa3b	0.9227076843479646	-0.050358877269991886
Cnga3	0.6502637582925971	0.2359275096389466
Inpp4a	0.5578899057735842	0.18800012989679393
Coa5	0.4228368351978638	0.2932872749426355
Unc50	0.6929476422812577	0.11649702691559465
Mgat4a	0.62331721268608975	0.24707263541300525
2010300C02Rik	0.08687460920370739	-0.8950230600074808
Tsga10	0.5113566794390209	0.25538122224067844
Lipt1	0.8051359310680462	0.07655036389897445
Mitd1	0.6788084690081307	0.20437490724517227
Mrpl30	0.5855191536295479	0.11332034190939316
Txndc9	0.7945173050221389	0.09763892763236229
Eif5b	0.7606159090577213	0.09851314351949787
Rev1	0.5349743350424175	0.2185355705293501
Aff3	0.07339941878888104	0.738325763616017
Gm16150	2.3076151391409675e-4	-2.1230857730048927
Lonrf2	0.5550559146712573	0.3307023497167626
Chst10	0.9185341397443259	0.10830764416839207
Pdcl3	0.8804172084033729	-0.041705830932317244
RP23-101P2.6	0.7055077741126484	0.21113429139660775
Npas2	0.056880220134099824	0.6185394772206229
Rpl31	0.22070815510937697	0.2108765360311227
Tbc1d8	0.42474180744082346	-0.21509917137292903
Cnot11	0.9090632711197637	-0.039821179686431035
Gm15832	0.9907469887339482	-0.004594752204432344
Rnf149	0.9438838630933475	-0.021580635842037635
Gm3646	0.8740423318122239	-0.1302163690542424
Map4k4	0.301979061659985	0.26645995248954757
Il1r2	0.7009102147839069	0.2837693080368723
Gm16894	0.8955534757216677	0.1654880142145268
Il1r1	0.6459720106205951	0.20360580747748047
Il1rl2	1.226623183247011e-4	0.8667269545562228
Il1rl1	0.9193562027340844	-0.0781375217800664
Slc9a4	0.9614597960282874	-0.04261562376554647
RP23-346B12.4	0.6097814610322212	0.41683464284588967
Slc9a2	0.3978658911003612	0.26345168013971404
Mfsd9	0.6263307980157007	0.266810815198951
Tmem182	0.8607244830812835	0.08080190605761146
Mrps9	0.9783150976084913	0.007424053274311802
Tgfbrap1	0.8143505808231708	-0.05172016028380697
AI597479	0.9613424626012019	0.023112542932676495
Fhl2	0.31115684190532883	-0.5778613164317817
Nck2	0.5397457595793363	-0.19408157706759827
1500015O10Rik	0.1824159245172303	1.0454771977786366
Uxs1	0.7132541745054237	-0.12767574743669935
Gm19587	0.9672253032470107	-0.04383106782427727
Tpp2	0.7328565000205515	0.17820473915959886
Mettl21c	1.081922880672242e-7	1.0590762751050615
Tex30	0.6338435455295681	0.2607918387601473
Gm29247	0.6057892504558461	0.254323871465592
Kdelc1	0.9975069619576067	-0.0014933912961677474
Bivm	0.3486883959792807	0.36346047351400373
Ercc5	0.6012063648880807	0.21214412958960113
Mettl21e	0.006499332348186631	1.1573824312765264
Gm15833	0.5239059882974993	0.5407818300499195
Gulp1	0.7620090750288918	0.13223690058250173
Col3a1	3.047713348233917e-8	1.1629636313598926
Col5a2	0.0011153246069137228	0.6786797589049749
Wdr75	0.44048055209487635	0.33418896804806797
Gm5526	0.9850025812041486	0.01512457033570634
