Character,Text
Isadora,"What will it be?"
Geralt,"Point me to the alderman's house."
Isadora,"It's down the alley to the left-"
Inkeeper,"Isadora! We don't want your kind here, Witcher."
Geralt,"The alderman, tell me where he is and I'll be on my way."
Nohorn,"You don't give the orders around here you mutant son of a bitch."
Inkeeper,"Hear that? Go. On your own or at the end of a rope, your choice."
Geralt,"Not a hard choice."
Inkeeper,"Yeah, fuck that. Kill him with your bare hands if you have to."
Nohorn,"C'mon, Witcher. You're not scared of us, are ya? Show us what you've got."
Renfri,"Can you not leave it alone for a moment?"
Inkeeper,"Witchers can't be trusted."
Renfri,"I'm not speaking to you. I apologize for my man's interference in your day. Hopefully he can improve his behavior by tomorrow's market."
Nohorn,"Sorry, Renfri. Come on, lads."
Renfri,"Beer for my friend here and one for me. I am speaking to you now, good sir. Want some breakfast?"
Geralt,"I’m full. Venison."
Renfri,"My mother, God rest her, would be mortified."
Geralt,"Our secret then."
Renfri,"So, what brings you to Blaviken, White Hair? You came for a monster?"
Geralt,"I was traveling by the swamp."
Renfri,"That would be your mistake then. Why wouldn’t you travel by main roads?"
Geralt,"It’s hard to make a living on main roads."
Renfri,"And you desperately need money for new clothes. Two more beers. More and more, I find monsters wherever I go."
Marilka,"How much coin for your kikimora then? I killed a rat this morning with my breakfast fork. Stabbed it in its fat little gut. My mother nearly fainted, but what was I supposed to do? It had been shitting in our pantry for days."
Geralt,"You mentioned coin."
Marilka,"Yes. Isadora said you were looking for my father. She’s a gossip, you see. Probably went two steps into the Lord’s Inn before she was running off telling everyone an evil witcher had arrived. You don’t scare me."
Geralt,"That’s too bad."
Marilka,"And I can also tell you that my father will have no use for this beast."
Geralt,"Your father, the alderman? He posted a flyer."
Marilka,"For a graveir. Kikimoras are useful. Population control."
Geralt,"Hm."
Marilka,"You should speak to Master Irion, our wizard. He’s willing to pay for odds and ends he needs for elixirs. I sold him our dog when it died. Mysteriously."
Geralt,"Fine. Take me to him."
Marilka,"I got 15 crowns for the yappy mutt. That’s enough to buy some new clothes. Just saying."
Geralt,"Hm. Come on, Roach."
Marilka,"Have you ever killed a succubus? A striga? Werewolf? She-wolf?"
Geralt,"That’s not a thing."
Marilka,"So you’ve killed the rest? I think that makes you a hero. My mother says you’re the offspring of foul sorcery, a diabolic creation, a filthy degenerate born of Hell. Have you ever been to Hell? I’ve never even left Blaviken. Because my mother’s never left Blaviken, and if it’s good enough for Libushe, then it’s good enough for Marilka. That’s my name. Marilka. Like milk. What’s your name?"
Geralt,"Geralt."
Marilka,"Like garroter? Nice. Where are you from, Geralt?"
Geralt,"Rivia."
Marilka,"I don’t know where that is, but I could learn, if you’d let me."
Geralt,"No."
Marilka,"Because I’m a girl and girls can’t be witchers. Which I think is probably the stupidest thing I’ve ever heard."
Geralt,"Hm."
Marilka,"I want more. I have to be more, because I don’t know what to do in Blaviken for the rest of my life, except go to the boring old market."
Geralt,"And kill rats."
Marilka,"And dogs. Here we are."
Geralt,"Hold Roach. Be nice."
Marilka,"Hey, Roach."
Stregobor,"Greetings. I’m Stregobor. Master Stregobor. Sorcerer."
Geralt,"I have a kikimora for Master Irion."
Stregobor,"Yes, well, forgive the confusion. Irion created this tower, but he’s been dead 200 years. So, in order to honor him, I’ve taken his name as my personal sobriquet."
Geralt,"Hm. He create this illusion, too?"
Stregobor,"No, this is, uh… this is… my own creation. Helps pass time more delightfully."
Geralt,"Because you’re in hiding."
Stregobor,"How very clever of you, Witcher. Not often do we see your likeness here in Blaviken."
Geralt,"Not many of my likeness left."
Stregobor,"Hm. I’d offer you my condolences, but I seem to remember that witchers don’t feel anything. I’m grateful destiny brought you to me."
Geralt,"Marilka brought me to you."
Stregobor,"Oh, Marilka. Marilka works for me. Now and then. On matters of great import."
Geralt,"A reclusive sorcerer who uses an alias and hires a young girl to procure him a witcher. You don’t want my monster. You want me to kill yours."
Stregobor,"Very clever. Indeed."
Geralt,"What kind?"
Stregobor,"The worst kind. The human kind. Its name is Renfri."
Geralt,"Hm."
Korin,"Damn it. Go on, Martin."
Martin,"Ah, five"
Other boys,"Yeah."
Ciri,"Not yet."
Martin,"There’s no way you can get five."
Ciri,"You’re not taking a bite of that bread before I try."
Martin,"Better throw those knuckles."
Korin,"Go on then."
Martin,"Told ya. I didn’t steal the bread. Korin did! Quick! Quick!"
Korin,"Hey, shut up you twat."
Lazlo,"You need to come with us."
Calanthe,"As your Queen, I grant you this commendation, which will symbolize your duty and bond as liegemen in fealty to the crown of Cintra."
Eist,"Could use with a bit of feel-ty myself right now."
Ciri,"Gross."
Calanthe,"Do you promise to defend to your utmost the weak, the orphaned…"
Eist,"Late wee pups don’t get to bark."
Ciri,"I was playing in the square."
Calanthe,"…speak only the truth…"
Eist,"Knucklebones?"
Calanthe,"…loyal and brave…"
Eist,"Did you win this time? Like I showed you."
Calanthe,"…at any cost…"
Ciri,"I would have if the horsemen of doom hadn’t ridden up like that."
Calanthe,"I grant you this…"
Eist,"If you can’t win a game of knucklebones for fear of a few horses…"
Calanthe,"…duty and bond…"
Eist,"…what’ll you do when you go into battle?"
Calanthe,"…in fealty to the crown of Cintra."
Eist,"At least you didn’t shit your kecks."
Calanthe,"As member of the Royal Family, is it too much to ask that you exercise a modicum of respect? Especially you. This is your duty as king and grandfather."
Eist,"Grant me leave, my Queen. I am worn from my trip to the Isles. And my bedchamber duties before that."
Ciri,"Gross."
